Innsendt,Prosjektnummer,Bedriftsnavn,Prosjekttittel,Organisasjonsnummer,Fylke,Kommunenavn,Poststed,Søknad godkjent,Søknad avslått,Prosjektets fra-år,Prosjektets til-år,Vedtaksdato,Populærvitenskapelig sammendrag
6/26/2019,304597,BLUE LOGIC AS,ROV Replaceable Anode Retrofit System,995890682,Rogaland,SANDNES,SANDNES,JA,NEI,2019,2021,7/25/2019,Dette FoU-prosjektet skal utvikle nye AUV-baserte festemekanismer for anoder og et nytt testsystem for anoder på forskjellige subsea stålkonstruksjoner.
6/26/2019,304598,NUTRIMAR AS,Utvikling av nytt produkt basert på kyllingblod,990080372,Trøndelag,FRØYA,KVERVA,JA,NEI,2019,2019,8/29/2019,"Det oppstår betydelige mengder kyllingblod i kyllingslakterier i dag. Det aller meste av dette går tapt og anvendes ikke til kommersielle formål. Nutrimar ønsker med dette prosjektet å finne alternative anvendelser av kyllingblod - spesifikt tørking av blod ved hjelp av spraytørketeknologi. På den måten kan man fremstille en protein-produkt med høyt proteinnivå og høy fordøyelighet. Nutrimar har ulike tørketeknologier, men antar foreløpig at spraytørking vil være mest egnet pga kyllingblodets beskaffenhet. Det ferdige produktet målsettes å selges til kjæledyr og/eller som ingrediens til fiskefôr."
6/26/2019,304599,NUTRIMAR AS,Utvikling av mer attraktive proteinprodukter fra fjær,990080372,Trøndelag,FRØYA,KVERVA,JA,NEI,2019,2019,8/30/2019,Prosjektet søker å finne/utvikle enzymer og løsninger for å gjøre proteinprodukter fra fjær fra kylling mer fordøyelig. Høy fordøyelighet er viktig for både oppdrettsfisk og kjæledyr. Høyere fordøyelighet betyr at dyrene kan nyttiggjøre seg en større del av fôret. Nutrimar er en leverandør av ingredienser til fôr og ønsker å tilby proteinprodukter med høyest mulig fordøyelighet.
6/26/2019,304600,NUTRIMAR AS,Utvikle tørkemetode for stortare,990080372,Trøndelag,FRØYA,KVERVA,JA,NEI,2019,2019,9/3/2019,"Det eksisterer i dag ingen industriell mulighet for tørking av stortare i stor skala. Nutrimar sikter på å etablere slik virksomhet på Frøya. Tørking av tare er svært energikrevende i og med at tare inneholder store deler vann. Mekanisk tørking er utfordrende fordi viktige næringsstoffer kan gå tapt. Tørking vil uten tiltak være svært energikrevende og tiltak må identifiseres og iverksettes. Nutrimar har håp om å finne løsninger for separasjon og tørking som markedene vil etterspørre. 

Dersom man lykkes vil man etablere en helt ny standard og åpne for nye muligheter for hele tarenæringen."
6/26/2019,304601,ZEST AS,I`m Me - or positiv identitet og motvirke depresjon og ensomhet,922806799,Rogaland,HVALER,VESTERØY,NEI,JA,2019,2021,7/4/2019,
6/26/2019,304602,MARINE ALUMINIUM AS,Robotisert sveiseprosess for aluminiumskonstruksjoner,988419486,Rogaland,KARMØY,AVALDSNES,JA,NEI,2019,2021,8/8/2019,Vi skal robotisere sveiseprosessen for aluminiumkomponenter.
6/27/2019,304603,AQUATEKNIKK AS,Nytt vaske- og renseanlegg for settefiskanlegg,919766751,Rogaland,HÅ,VARHAUG,JA,NEI,2019,2020,8/22/2019,Det skal utvikles et nytt vaske- og rensesystem for settefiskanlegg.
6/27/2019,304604,NORGANIC AS,Nytt system for optimal håndtering av økologiske råvarer,984155913,Rogaland,KLEPP,KLEPP STASJON,JA,NEI,2019,2020,8/22/2019,Det skal utvikles et nytt operasjonssystem for optimal håndtering av økologiske råvarer.
6/27/2019,304607,HCL NORDIC AS,Prediktiv markedsføring,913275454,ukjent,ASKER,ASKER,JA,NEI,2019,2020,9/11/2019,HCL Nordic skal utvikle ny og smart teknologi for markedsføring av norske kulturhus.
6/27/2019,304608,KJELDSTAD TRELAST AS,Økt kapasitet K-Bjelke,950939923,Trøndelag,SELBU,SELBU,JA,NEI,2019,2020,8/5/2019,"Kjeldstad Trelast produserer byggtre og spesialprodukter til norsk byggeindustri.  Bedriften arbeider med kontinuerlig forbedring både når det gjelder produksjonsmetoder og produkter.  Nylig ble limtreproduktet K-bjelke Plus lansert som et limtreprodukt med økt kapasitet.  
Kjeldstad Trelast vil nå gjennom et skattefunnprosjekt øke kapasiteten på sine limtreprodukter for å åpne for ny anvendelse.  Gjennom sin posisjon i Arena Skog vil bedriftens produkter med høy kapasitet også bidra til å styrke klyngens konkurransekraft innen urbant byggeri."
6/27/2019,304610,NORRØNAFLY PROPELLER & NDT AS,Ny programvare for raskere og billigere service og vedlikehold av propellere,945431962,Oslo,OSLO,OSLO,JA,NEI,2019,2020,8/8/2019,Vi skal utvikle ny programvare for MRO innen vedlikehold og reparasjon av flypropeller.
6/27/2019,304611,NOAH AS,Utvikling av kjemikaliefri prosess for nøytralisering av flyveaske,984902980,ukjent,HOLMESTRAND,HOLMESTRAND,JA,NEI,2019,2020,7/2/2019,"NOAH er Nordens ledende miljøbedrift innen håndtering av uorganisk farlig avfall som nøytraliseres og sluttbehandles på Langøya utenfor Holmestrand. Vi legger stor vekt på forskning og utvikling og har en egen FoU-avdeling på Herøya forskningspark. Målet er å utvikle en effektiv prosess for å hydratisere flyveaske uten bruk av kjemikalier. Vi vil teste virkningsgraden av nøytralisering av fuktet og hydratisert flyveaske ved hjelp av røykgass fra WtE forbrenningsanlegg eller andre forbrenningsprosesser med CO2 innhold på 10-14v% (tørr røykgass). Prosjektet skal kunne gi oss svar på nøytraliseringsgrad, behandlingskapasitet, stabilitet og driftssikkerhet."
6/27/2019,304613,WAVETRAIN SYSTEMS AS,Skattefunn 2019 ,994483404,ukjent,BÆRUM,LYSAKER,JA,NEI,2019,2019,8/16/2019,"Wavetrain Systems AS utvikler systemløsninger for sikring av planoverganger. Det er mange tusen usikrede planoverganger i verden, og antall dødsfall og skader er høyt. Tradisjonelt utstyr til å sikre planoverganger med bommer, varsellys o.l er svært kostbart. Delvis skyldes dette at det kreves kilometervis med kabel i begge retninger for å koble til utstyret. Wavetrains løsning er nyskapende ved at den bruker lyden av tog som nærmer seg til å utløse varslingen. Denne lyden forplanter seg i skinnene, og Wavetrain har utviklet og patentert teknologi for å fange opp slik lyd. Alle komponenter installeres ved selve planovergangen. Dette gir mye raskere og enklere installasjon enn konkurrerende teknologi, og et godt forhold mellom pris og ytelse. Dermed vil flere planoverganger kunne sikres innenfor et gitt budsjett."
6/27/2019,304614,KLØVERBAKERIET AS,Intelligent planlegging av produksjon/distribusjon av ferske bakervarer,981161289,Trøndelag,TRONDHEIM,FLATÅSEN,JA,NEI,2019,2021,7/25/2019,Vi skal utvikle et helt nytt produksjons og distribusjonssystem som predikerer salg av bakervarer i den enkelte butikk basert på historiske salgsdata i tillegg til metadata med flere eksterne parametere som statistisk signifikant korrelerer med salgsdata. Alle aggregerte metadata vil resultere i en individuell profil på den enkelte butikk som vil bli mer og mer treffsikker over tid.
6/27/2019,304617,FORIS AS,Customised fenestration purchase experience,989747606,ukjent,BERGEN,BERGEN,NEI,JA,2019,2021,8/6/2019,
6/27/2019,304618,CORUM AS,"Sustainable, affordable and adequate occupational pensions- Digitalization and cross border mobility",913858689,Oslo,OSLO,OSLO,JA,NEI,2019,2020,8/16/2019,"Do you believe there will be anything left for you from your occupational pension savings when you retire ? Unless we change and improve the way we manage the occupational pension savings, a lot of people will get a big surprise when they retire. Corum wants to develop a sustainable, efficient, digital, cross boarder application for occupational pension savings so that when you retire you can do it with no worries."
6/27/2019,304619,TELKO AS,TelScope,925922986,ukjent,FÆRDER,TJØME,JA,NEI,2019,2021,7/4/2019,Utvikling av system for digital innsamling av data og et automatisert dokumentering- og rapporteringsverktøy for den maritime sektoren.
6/27/2019,304621,NUTRIMAR AS,Utvikling og uttesting av konsept for lagring av stortare,990080372,Trøndelag,FRØYA,KVERVA,NEI,JA,2019,2019,9/4/2019,
6/27/2019,304622,NUTRIMAR AS,Effektiv metode for utvinning av alginat,990080372,Trøndelag,FRØYA,KVERVA,NEI,JA,2019,2019,8/22/2019,
6/28/2019,304624,STORM 121,Personal Video on-the-fly,919061340,Oslo,OSLO,OSLO,JA,NEI,2019,2021,8/8/2019,"""Man kan ikke være likegyldig til et budskap hvor man selv er en del av innholdet"". PVM engasjerer mottakerne på et helt annet nivå enn generelle budskap. Gjennom dette prosjektet skal vi gjøre det mulig å generere personifiserte filmer automatisk fra datadrevet kundeinformasjon og distribueres bare sekunder etter en transaksjon. Teknologien skal håndtere store, løpende kundevolum som eksempelvis flyselskaper, hotellkjeder og retailkjeder. Samtidig skal man engasjere store medlemsmasser gjennom løpende kommunikasjon.

Personifisert Film skal utformes så spennende og personlig at mottakere gleder seg til å se dem, fordi det gir mening for vedkommende."
6/28/2019,304625,HAMRAN SNEKKERVERKSTED  AS,Hamran Lauvtre - premium produkt,997015142,ukjent,HÆGEBOSTAD,SNARTEMO,JA,NEI,2019,2021,8/29/2019,"Norsk trevareindustri importerer over 90 % av all råvare som brukes, og i tillegg brukes det mye sponplater og MDF plater i dette segmentet. Hamran ønsker å påvirke til at denne prosenten går drastisk nedover, og vi tror at vi gjennom dette prosjekt kan være med å sette fokus på bruk av norsk råvare, i kombinasjon med godt håndverk og design. Vi vet at hos en del kunder i markedet er betalingsvilligheten tilstede hvis vi kan tilby mer norsk råvare i våre produkter. 

Målet med prosjektet er å utarbeide en rasjonell og lønnsom verdikjede for premium totalinnredning i Norsk lauvtre.
Norsk lauvtre virke er av ulik kvalitet, mye avhengig av geografi og bonitet hvor treet har vokst. Prosjektet vil utvikle en  sorteringsmetodikk og modelleringsverktøy som gjør at vi kan bruke mest mulig av råstoffet. Fremskaffe løsning som gjør at sørnorsk lauvtre kan brukes til møbler og innredninger.

Vi må utvikle produksjonsmetoder for totalinnredning i norsk Lauvtre som innehar en kvalitet som kreves i premium markedet, som er rasjonell og lønnsom i forhold til hva markedet er villig til å betale. Fokus er å utnytte mest mulig av treet vi får inn, med fokus på det fornybare, samt 100 % norsk."
6/28/2019,304627,ZINE TRAVEL AS,Forlengelse: Fremtidens webportal for reiselivsartikler,989204084,Oslo,OSLO,OSLO,JA,NEI,2019,2020,7/25/2019,Prosjektet omhandler utvikling av en webportal for reiselivsartikler.
6/28/2019,304628,SAFETY WING AS,"Globalt sosialt sikkerhetsnett på internett for entrepreneurer, fjernarbeidere og digitale nomader",918932232,ukjent,MANDAL,MANDAL,JA,NEI,2019,2021,9/3/2019,"SafetyWing bygger et globalt sikkerhetsnett på internett. 
Antallet fjernarbeidere og frilansere over internett har vokst kraftig i de senere år, og kommer etter alle kjennemerker å vokse kraftig i tiden fremover. Enkelte eksperter hevder at det i løpet av de neste femten årene kommer til å være bortimot 1milliarder mennesker som lever som ""digitale nomader"" i verden. 
Det er også en kraftig voksende trend at selskaper strukturerer seg som ""remote organizations"", der de baserer seg på en arbeidsstokk av fjernarbeidere uten et fastsatt arbeidssted. Således får de tilgang på en global arbeidsstyrke med store muligheter for å finne riktig talent, fleksible ordninger og kostnadsbesparelser.

Samtidig er det i dag slik at de fleste velferdsordninger enten tilbys av land der man har statsborgerskap/opphold eller av arbeidsgiver. (Varierer fra land til land.)
Vi ser derfor at en stor rekke mennesker faller utenfor tradisjonelle sikkerhetsnett og velferdsordninger. 

Delvis inspirert av den norske folketrygden ønsker vi å bygge en frivillig ordning der vi tilbyr et medlemsskap eller abonnementsordning som gir tilgang til goder som helseforsikring, uføreforsikring, pensjon, inntektssikring, banks osv. 

SafetyWing ble stiftet i 2017, og var med i startupakselleratoren Y Combinator i 2018.
Mye av utviklingsarbeidet foregår i Norge. Vi har tidligere søkt om, og fått innvilget støtte fra SkatteFunn i 2017&2018."
6/28/2019,304629,TRAINOR ELSIKKERHET AS,Administrasjonsverktøy for ekstern administrering av bransjekurs,997768310,ukjent,TØNSBERG,TØNSBERG,JA,NEI,2019,2020,8/8/2019,Administrasjonsverktøy for ekstern administrering av bransjekurs.
6/28/2019,304630,PIPELIFE NORGE AS,Prosess for helstøping av rørkrager,980457575,Møre og Romsdal,SURNADAL,SURNADAL,JA,NEI,2019,2019,8/12/2019,"Pipelife Norge AS skal i dette prosjektet utvikle en prosess for helstøping av krager til HDPE-rør med en diameter opp til 2,5 meter og lengder opp til 600 meter."
6/28/2019,304631,EASY ACCESS AS,Utvikling av smarthusløsninger for komplett adgangskontroll,993610070,ukjent,GRAN,GRAN,JA,NEI,2019,2020,7/25/2019,Utvikling av smarthusløsninger for komplett adgangskontroll.
6/28/2019,304632,C H EVENSEN INDUSTRIOVNER AS,End-to-end value chain digital service,995504081,ukjent,FREDRIKSTAD,FREDRIKSTAD,JA,NEI,2019,2021,8/8/2019,C.H. Evensen develops a heating system service.
6/28/2019,304635,PILARO AS,Pilaro 2020,879887232,ukjent,TØNSBERG,SEM,NEI,JA,2019,2020,8/12/2019,
6/28/2019,304636,CREDLOCK SYSTEMS AS,Utvikling av ny og revolusjonerende funksjon for adgangskontroll på treningssentre,994176021,Oslo,OSLO,OSLO,JA,NEI,2019,2019,7/25/2019,I prosjektet skal det utvikles en ny funksjon for adgangskontroll på treningssentre.
6/28/2019,304637,RAMSALT LAB AS,Brukerstyrt SaaS-publiseringsløsning,995992566,ukjent,TROMSØ,TROMSØ,JA,NEI,2019,2021,7/25/2019,Vi skal utvikle en fullverdig og uavhengig SaaS-publiseringsløsning for mediehus.
6/28/2019,304638,FOTOKNUDSEN AS,Automatisk produktgenerering,999141641,ukjent,BERGEN,BERGEN,JA,NEI,2019,2021,7/25/2019,Fotoknudsen skal utvikle verdens beste og mest effektive system for bestilling og produksjon av fotoprodukter.
6/28/2019,304639,TRY AS,Brand analyzer,980129942,Oslo,OSLO,OSLO,JA,NEI,2019,2021,8/8/2019,Try skal gjennomføre et prosjekt med mål om å utvikle en omdømmeanalyse som monitorerer en merkevares rennommé i nyhetsbildet. Analyseresultatet vil bidra til å styrke et beslutningsgrunnlag tilknyttet gjennomføring av ulike markedsføringstiltak.
6/28/2019,304640,TRONDHEIM INNOVATION AS,Allergirom pilot,918267239,Trøndelag,MALVIK,VIKHAMMER,NEI,JA,2019,2021,7/4/2019,
6/28/2019,304641,INNSKUDDSPENSJONSTJENESTER AS,Ekspansjon av Smart Pension System (SPS3) - Utvikling av laveste kost pensjonssystem,814633152,ukjent,SKEDSMO,LILLESTRØM,JA,NEI,2019,2020,7/25/2019,"Prosjektet (SPS3) skal ekspandere IPTs tekniske plattform som et steg mot IPTs mål om å bli ledende leverandør av lavkost informasjon- og støttesystemer for finansiell sektor. Funksjonaliteten skal utvides i tre viktige retninger; håndtering av (1) privatmarkedet 2) bedriftsmarkedet og (3) nye produkter. Prosjektet krever ny kunnskap særlig innen feltene automatiseringsteknologi, systemintegrasjon og nye sentrale regulatoriske endringer. Prosjektet skal øke konkurranseevnen og markedspotensialet til selskapet"
6/28/2019,304642,SOPRA STERIA AS,HoloCare Cloud,910909088,Oslo,OSLO,OSLO,JA,NEI,2019,2022,8/22/2019,"HoloCare Cloud er et prosjekt for skybasert håndtering og AI-basert omdanning av medisinske bilder til hologrammer til bruk i kirurgisk planlegging og navigasjon. Metodene skal testes ut innen to ulike områder av høyspesialisert kirurgi: reparasjon av medfødte hjertefeil og vevbesparende operasjon for kreftsvulster i lever.

Målet med prosjektet er å opprette en skybasert løsning for bearbeiding og tredimensjonal holografisk visualisering av medisinske bilder, som for eksempel CT, MR og ultralydbilder til vanlig klinisk bruk.  Disse kan bearbeides til tredimensjonale hologrammer for bedre forståelse av den tredimensjonale strukturen i det syke organet før og under operasjoner. Sentralt i dette er å flytte den tredimensjonale rekonstruksjonen av bildene ut av kirurgens subjektive forestillingsevne og inn i hologrammet som er en eksakt representasjon av bildedata. 

Prosjektet består av tre hoveddeler:
1. Etablere løsning for sikker import, lagring og eksport av bilder og hologrammer basert på skylagring
2.aLage en automatisk løsning for eksakt omdannelse av røntgjenbilder til hologram basert på kunstig intelligens
3. Klinisk testing og videreutvikling av applikasjoner for bruk av hologrammer i planlegging og gjennomføring av operasjoner. 

Prosjektet drives av Sopra Steria Norge i samarbeid med Intervensjonsssenteret ved Oslo Universitetssykehus (OUS) og Microsoft. Prosjektet omfatter pasienter som behandles for medfødt hjertefeil ved Barnekardiologisk avdeling og Thoraxkirurgisk avdeling ved OUS og for leverkreft ved Intervensjonsssenteret ved OUS. 

Første fase av prosjektet vil være å etablere en personvernmessig sikker skyløsning for håndtering av bilde og hologramdata. Tilgangen til server og applikasjoner vil først baseres på forskningsinnsats og etter hvert bli en salgbar tjeneste. Andre fase går parallelt med første fase med innsamling og analyse av bildedata tilstrekkkelig for å trene algoritmer for automatisk segmentering av hjerte og leverbilder."
6/28/2019,304645,TRANSPORT DATA SYSTEMS AS,Administrasjon av offentlig interntransport,981369432,ukjent,ASKER,NESBRU,JA,NEI,2019,2020,8/16/2019,"Vi skal utvikle et digitalt trafikkstyringssystem for internkommunal transport for brukere med spesielle behov. Systemet skal utveksle og lagre informasjon sømløst mellom pårørende, transportører og brukere."
6/28/2019,304646,"HEGSTAD, VIKEN OG BLAKSTAD AS",Grønne Folk Produktutvikling 1,916563191,Trøndelag,FROSTA,FROSTA,NEI,JA,2019,2020,8/26/2019,
6/28/2019,304647,OBOS BBL,Nabolaget,937052766,Oslo,OSLO,OSLO,JA,NEI,2019,2021,8/5/2019,OBOS skal arbeide for å øke trivsel og redusere ensomhet i våre borettslag gjennom et omfattende FoU-prosjekt. Resultatet av forskningsprosjektet skal blant annet benyttes for å utvikle en digital plattform for bedre samspill mellom beboere og lokalt næringsliv i borettslag og små lokalsamfunn.
6/28/2019,304648,RETRIEVER NORGE AS,Analyseplattform for medieomtale,981076605,Oslo,OSLO,OSLO,JA,NEI,2019,2020,7/25/2019,Vi skal utvikle en ny plattform for avanserte medieanalyser.
6/28/2019,304649,APTOMA AS,Automatisering og publisering for mediebedrifter vha. SaaS,987443561,Oslo,OSLO,OSLO,JA,NEI,2019,2021,7/25/2019,"I dette prosjektet automatiserer vi og øker kvaliteten på de aller mest synlige og prominente delene av dagens medieprodukter, nettavisenes forsider og alle sider i papiravisen. Vi gjør vårt arbeide internasjonalt tilgjengelig ved å installere vår medieplattform på flere kontinenter."
6/28/2019,304650,A C SMITH & CO AS,Utvikling av senterkontakter for roterende kraner iht. IECEx,879946492,Oslo,OSLO,OSLO,JA,NEI,2019,2020,7/25/2019,Utvikling av senterkontakter for roterende kraner iht. IECEx.
6/28/2019,304651,MEDIEARKIVET NO AS,Mediearkivet 21,981957059,Oslo,OSLO,OSLO,JA,NEI,2019,2020,7/25/2019,Prosjektet skal resultere i en ny prismodell og bedre søkemuligheter for Mediearkivet.
6/28/2019,304653,CATCH CERTIFICATE SA,System for kontrollert handel med villfanget fisk,994859617,ukjent,BERGEN,BERGEN,JA,NEI,2019,2021,8/30/2019,Vi skal utvikle et brukervennlig system for utstedelse og validering av fangstsertifikater for villfanget fisk som sporer kvanta av fisk fra landing til eksport.
6/28/2019,304654,NORTRONIX AS,Trådløst og energieffektivt sikkerhetssystem til bobiler og campingvogner,989758640,ukjent,LARVIK,STAVERN,JA,NEI,2019,2021,8/16/2019,Nortronix skal utvikle et nytt alarm- og sikkerhetssystem. Prosjektet skal resultere i markedets sikreste og mest energieffektive sikkerhetsløsning for bobiler og campingvogner.
6/28/2019,304655,CAMERALLA AS,Foto-mate - 5 veier til bedre bilder,921343485,Oslo,OSLO,OSLO,JA,NEI,2019,2020,9/11/2019,"Hver dag publiseres mange 100 millioner bilder på sosiale medier.  Et økende antall mennesker deler sine tanker og bilder av sine liv på sosiale medier. Dette medfører også at svært mange ønsker å bli flinkere til å ta gode bilder og søker nettet for hjelp til dette. I sosiale medier får man Likes basert på popularitet, og mange forveksler dette med utvikling som fotograf. Dette er langt fra tilfelle. Likes er ofte mer avhengig av posisjonering,  aktiviteter og chat med andre og ikke minst kjendisfaktorer. 

I Foto-mate prosjektet skal Cameralla  utvikle et system for å tilby kursing for lære å ta bedre bilder.    
Vi vil  utvikle en IT plattform hvor man ønsker å ta i bruke dagens tilgjengelige teknologi som vil understøtte interaktivitet med den enkelte kurs deltager. Man ønsker å benytte Chatbot spørring basert på Dialogue, Satisfaction og Feedback prinsipper til å identifisere den enkeltes deltagers ønsker og behov, og på denne måten ""guide"" eleven gjennom en interaktive opplærings prosess. Videre ønsker man å benytte ""Image Recognition"" teknologi til å kartlegge  kvaliteten på bildene og som også vil produsere underlaget for alternative måter å fotografere, fremkalle og å komponere bedre bilder. Prosjekt Foto-mate skal utvikle den plattformen som skal kunne gi den enkelte elev råd og hjelp til å ta bilder på en bedre måte om det basert på fotografiapparat, filmkamera eller mobiltelefon.
Løsningen vil være sky-basert og vil kunne konfigureres i henhold til emne, objekt, og vil bli oversatt til forskjellig språk, slik at oppsette kan tilpasses den enkeltes eller interessegruppes behov."
6/28/2019,304656,SUN NET AS,Sunbox Solar Panels,914333342,ukjent,GRIMSTAD,GRIMSTAD,NEI,JA,2019,2020,8/16/2019,
6/28/2019,304658,SCREENPARTNER AS,MediaBank by Screenpartner,992596996,ukjent,TØNSBERG,TØNSBERG,JA,NEI,2019,2019,7/25/2019,Vi utvikler et digitalt medie-/filarkiv for private produksjons og handelsbedrifter sine behov for å dele informasjon.
6/28/2019,304659,GAPIT AS,Utvikling av 3D-visualisert instrumentering og automasjon,917567204,ukjent,ØVRE EIKER,HOKKSUND,JA,NEI,2019,2021,7/25/2019,"Gapit er et innovativt IT- og automasjonsselskap. Vår virksomhet går ut på å knytte sammen proprietære automasjonssystemer med open source IT-systemer. Vårt mål er å hjelpe våre kunder med å oppnå høyest mulig oppetid på sine systemer og til å optimalisere systemene deres slik at kundene våre oppnår en mest mulig kostnadseffektiv drift. 
Hovedmålet i prosjektet er å utvikle et programvaresystem for automasjon og vedlikeholdsstyring med et 3-dimensjonelt brukergrensesnitt. Dette brukergrensesnittet vil representere en stor nyhet på markedet og gjøre det mulig for brukerne å visuelt se på en skjerm med et 3D-realistisk bilde  hvilken enhet som trenger vedlikehold og hvilken komponent inne i enheten som har et problem. Programvaren skal også utvikles slik at den har kunstig intelligens for å optimalisere drift og vedlikehold."
6/29/2019,304661,HESBYNETT AS,Multitjenestenettverk rettet mot oppdrettsnæringen Skattefunn,879924472,Rogaland,STAVANGER,STAVANGER,NEI,NEI,2019,2022,,
6/29/2019,304662,SECRETS TO SPORTS AS,"Synkronisering med administrative program - fra ""nice to have"" til ""need to have""",886307942,ukjent,ASKER,NESBRU,JA,NEI,2019,2020,8/12/2019,"S2S har siden 2003 utviklet et program for å støtte trening og treningsarbeid innom idrett, i første omgang fotball.
Programmet er oversatt til 15 språk og opplever nå økende interesse fra en rekke land. Brukere av programmet ønsker at S2S synkroniseres med de mer administrative programmene som brukerne allerede benytter.
Dette prosjektet har som målsetting å etablere nye verktøy og prosesser som skal gjøre det enklere å raskt kunne knytte S2S sammen med slike programmer. Effekten av prosjektet vil være å spare sluttbrukeren for arbeid, og begge programmer vil bli enda mer nyttige og viktige."
6/29/2019,304663,ASKO OSLOFJORD AS,Helautomatisert regionlager,918035761,ukjent,SANDE,SANDE I VESTFOLD,JA,NEI,2019,2021,9/16/2019,Vi skal utvikle systemer for nytt helautomatisert lager på Østlandet.
6/30/2019,304664,SAGASYSTEM AS,Software sentralsystem kollektivtransport,993471038,ukjent,BERGEN,KOKSTAD,NEI,JA,2019,2019,8/16/2019,
6/30/2019,304665,BIOWATER TECHNOLOGY AS,Automation and optimization of HyVAB reactor technology,991422374,ukjent,TØNSBERG,TØNSBERG,JA,NEI,2019,2021,7/2/2019,We are automating and optimizing HyVAB reactor technologies.
6/30/2019,304666,CLEMENS EIENDOM AS,Smarte Nabolag,995141450,Oslo,OSLO,OSLO,NEI,JA,2019,2022,8/5/2019,
7/1/2019,304672,FRANZEFOSS MINERALS AS,Nye produkter/fremstillingsprosess for tilslag og filler til betong,882153002,ukjent,BÆRUM,RUD,NEI,JA,2019,2021,8/16/2019,
7/1/2019,304673,BAS MASKINUTLEIE AS,Systemplattform for heldigital maskinutleie,991938249,ukjent,SKEDSMO,SKEDSMOKORSET,NEI,JA,2019,2021,8/16/2019,
7/1/2019,304674,WOPAS AS,Produktforbedring,917935505,ukjent,HOL,ÅL,NEI,JA,2019,2022,8/8/2019,
7/1/2019,304675,DRAKE CHEMICALS AS,"Nytt, miljøvennlig rensemiddel til prosessindustrien",912204367,Rogaland,KLEPP,VOLL,JA,NEI,2019,2020,7/25/2019,Drake Chemicals skal utvikle neste generasjons miljøvennlige kjemiske oppløser.
7/1/2019,304677,STERNER AS,MBBR og denit,957471455,ukjent,SKI,SKI,JA,NEI,2019,2020,8/22/2019,Vi skal utvikle en ny type MBBR og modul for denitrifikasjon.
7/1/2019,304680,BRONO AS,Smart energiutnyttelse gjennom speilteknologi,915125689,ukjent,FREDRIKSTAD,FREDRIKSTAD,JA,NEI,2019,2021,9/4/2019,Løsningene vi utvikler tar utgangspunkt i refleksjon av enten kunstig eller naturlig lys. Speilmatrisen er et verktøy for å kontrollere og utnytte energien som ligger i denne refleksjonen.
7/1/2019,304682,TARGETEVERYONE AS,Selektering og Segmentering. Komplett utvikling av nytt globalt analyseverktøy.,894806672,ukjent,KVAM,ØYSTESE,JA,NEI,2019,2019,8/5/2019,"TEO konsernet skal være ledende internasjonalt på tilrettelegging for markedsføring på mobil. Kundene skal kunne benytte et digitalt analyse- og segmenteringsverktøy. De vil kunne velge ulike kanaler som SMS, email, og mobile loadingssider for kundekommunikasjon.

I dette prosjektet  forsker og utvikler vi med henblikk på å etablere en helt ny løsning som bygges opp fra bunnen av.  Løsningen vil gi mye bedre kundeverdi gjennom analyser og beslutningsverktøy for markedsførere og bedrifter. Med skalering, språkstøtte og integreringsmulighet til andre systemer blir dette en nyvinning. Nå i siste fase i 2019 skal vi lykkes med  å utvikle en enkel metode for å konvertere analyser til operasjonell løsning.

Ved å benytte algoritmer og analyseverktøy kan vi gi tilbakemeldinger til markedsførere som gjør at de treffer riktig segment bedre. Og stadig bedre vil det bli. Design er svært viktig for et vellykket prosjekt, og vektlegges betydelig i dette prosjektet, det er fundamentalt at feedback og verktøy er lettforståelig og lett tilgjengelig. Statistiske data vil vise effektene.

Kort sagt vil utfallet av prosjektet bli at vi kan levere løsning som gir våre kunder forslag til skreddersydd og målrettet prosess for deres markedsføring. En analysemodell med algoritmer utvikles for å kunne gi prosessforslag for hvordan man kan treffe kundene best og dermed oppnå best mulig resultat av markedsføringen."
7/1/2019,304683,SOLGAARD FJORDFISK AS,Utvikle bærekraftig og tilfredsstillende velferdsmessig standardisert fangst og lagring av skalldyr,918789820,Møre og Romsdal,RAUMA,VÅGSTRANDA,JA,NEI,2019,2020,8/22/2019,"Solgard Fjordfisk AS ønsker med prosjektet å utvikle et skånsomt og bærekraftig fiske etter skalldyr.
Vårt hovedfokuset er sjøkreps og krabbe til konsum. Det er allerede opprettet kontakt med kjøper som selger våre produktet til godt betalende kunder over hele verden. I prosjektet blir det satt fokus på gjøre disse fiskeriene enda mer lønnsomme samtidig som bærekraftig og dyrevelferd ivaretas på best mulig måte. Velferdsparametere vil bli målt i samarbeide med Møreforskning i Ålesund. Vi skal gjennom prosjektet innta en ledende rolle nasjonalt på fangst og håndtering av skalldyr og videreutvikle det slik at dødelighet reduseres til et minimum i alle ledd."
7/1/2019,304684,SKALA MASKON AS,Pumpesystem for flytting av fisk,961353998,Trøndelag,STJØRDAL,STJØRDAL,JA,NEI,2019,2020,8/22/2019,Skala Maskon utvikler helautomatisk pumpesystem for pumping av fisk. Systemet består av pumpe og automatisk styring som ivaretar alle funksjoner rundt pumping på korte og lange strekk. Med dette får man ut ønsket mengde når man flytter fisk. Det er stor fokus på fiske velferd med tanke på stress og for lavt oksygennivå til fisken.
