Innsendt dato,Prosjektnummer,Bedriftsnavn,Prosjekttittel,Organisasjonsnummer,Fylke,Kommunenavn,Poststed,Søknad godkjent,Søknad avslått,Vedtaksdato,Prosjektets fra-år,Prosjektets til-år,Bransje,Populærvitenskapelig sammendrag
4/30/2020,313317,STACC INSIGHT AS,Kredittanalyse bransje,930851752,Vestland,Bergen,BERGEN,JA,NEI,5/28/2020,2020,2021,Finans og bank,"Stacc Insight har i mange år levert systemløsninger til bruk av rådgivere i bank. Disse er i bruk som støtteverktøy for kredittprosessen i privatmarkedet. I 2019 lanserte Insight en tilsvarende løsning for å støtte kredittvurdering av driftsselskaper. For å møte etterspørselen og behovet i markedet for slike løsninger må den eksisterende løsningen vår utvides innen to områder. Først er det behov for å tilrettelegge for bedre støtte til å identifisere, håndtere, kontrollere og rapportere risiko (bankens første forsvarslinje). Deretter er det behov for bedre støtte til å analysere bedrifters økonomi ved å samtidig ta høyde for bransjespesifikke forhold. I bankene blir økonomisk analyse av særegne bransjetyper håndtert manuelt. Dette er i dag en kompleks, ikke-standardisert og svært tidkrevende prosess for rådgiver. Prosjektet skal utvikle en automatisert og fleksibel løsning for å ivareta behovene hos våre eksisterende og potensielle nye kunder."
4/30/2020,313322,SMARTEMPLOY AS,Matchingportal for lærlingmarkedet,924413018,Viken,Bærum,HOSLE,JA,NEI,6/23/2020,2020,2021,Annen tjenesteyting,"Som del av videregående skole ligger det formelle ansvaret for lærlingordningen under fylket. I praksis er det  opplæringskontorene, som ofte er bransjebaserte, som forvalter ordningen. Det sikrer medlemsbedriftene til opplæringskontorene en stabil tilførsel av kompetente lærlinger. Men systemet svikter langs to dimensjoner. Det ene er at en andel 25-30 prosent av søkere på lærlingplass ikke får tilbud. Det andre er at rekrutteringen av nye lærebedrifter er for svak.
Mangel på lærlingeplasser er en av faktorene som forklarer lav gjennomføringsevne i videregående skole. Etablert forskning viser at erfaring fra arbeidslivet og gjennomført videregående skole er, for den enkelte elev, avgjørende for å redusere risikoen for å falle utenfor arbeidslivet på senere alderstrinn.
Særlig er det en bekymring at karakterer og fravær er sterkt korrelert med sannsynligheten for å få et tilbud om læreplass. I fravær av annen informasjon om kandidatens egnethet, tillegges karakterer en uforholdsmessig stor vekt. Det er kjent fra psykologisk forskning at karakterer er en relativt dårlig predikator på egnethet og suksess i jobb.
Vårt prosjekt består i å utvikle en nasjonal matching-portal for en bedre kobling mellom elev og bedrift. Basert på psykometriske tester og øvrig informasjon fra eleven genereres en elevprofil, som gir eleven informasjon om styrker og muligheter, i tillegg til en vurdering av alternative løp. For bedriftene blir elevprofilene anonymisert.
Basert på lærebedriftens jobbkjennetegn beregnes en match-score elev-bedrift, og en matching-algoritme benyttes til å generere et sett av ""gode""matcher"" . Matching-algoritmen er dynamisk og reoptimeres ettersom populasjonssammensetningene endres.
Gjennom en aktivert tidslinje (kalender) for de ulike prosedyrene i lærlingeløpet, rapportering- og evalueringsrutiner, digitale kompetanseressurser mm. representerer SmartEmploy et integrert verktøy som følger læringen og bedriften fra søknad legges inn, og til avsluttet fagbrev."
4/30/2020,313327,UPPACKED AS,UpPacked,923812962,Viken,Bærum,FORNEBU,JA,NEI,6/24/2020,2020,2021,Varehandel,"Jorden begynner å bli ekstremt forurenset av plastavfall, men forbrukere har ikke nok grønne alternativ som er praktiske og økonomisk forsvarlige. UpPacked utvikler derfor et påfyllingssystem for salg av forskjellige væsker i vanlige butikker. 

Det som gjør vår dispenser og teknologiske system unikt, er å gjøre det mulig å selge populære hverdagsprodukter uten emballasje.

Vårt null-avfalls-system vil gi produsenter og forbrukere muligheten til å spare penger gjennom å tilby teknologi og maskinvare som effektiviserer verdikjeden og samtidig maksimere bærekraftighet i alle ledd."
4/30/2020,313330,CALANUS AS,Prospektering av biomedisinske egenskaper til olje fra raudåte,984468970,Troms og Finnmark - Romsa ja Finnmárku,Tromsø,TROMSØ,JA,NEI,6/23/2020,2020,2021,Næringsmiddelindustri,"Calanus AS er et biomarint industriselskap som utvikler hele verdikjeden for høsting og utnyttelse av raudåte til verdifulle helse- og ernæringsprodukter. Selskapet har utviklet grunnlaget for kommersiell høsting av raudåte i havområder på den norske kontinentalsokkelen, og er igang med å videreutvikle teknologi for fremtidig oseanisk høsting. Dokumentasjon på
at virksomheten er bærekraftig både i økologisk og økonomisk forstand har også ført til økt vilje fra myndighetene ved å øke FOU-tillatelsen til et årlig uttak på 5000 tonn. Prosessering av råvaren er utviklet så langt at en etablering av et industrielt pilotanlegg for bioprosessering av raudåte er under  bygging. Det planlagte FOU-prosjektet skal støtte opp med konsolidering og videreutvikling av kunnskap for å redusere risikoen ved en slik oppskalering."
4/30/2020,313331,EVRY NORGE AS,Cloud Sprints,933012867,Viken,Bærum,FORNEBU,NEI,JA,6/17/2020,2020,2020,IKT-næringen,"Cloud Direct lar foretak forvalte hybride IKT miljøer på tvers av tradisjonelle-, private- og offentlige sky tjenester ved bruk av verktøy som primært er open source eller finnes i de aktuelle offentlige skytjenestene. Det er også bygget inn flere sikkerhetsmekanismer som avdekker brukerpålogginger flere steder og sikrer autoriseringen ved innlogging til kundens systemer. Ved å bruke Cloud Direct løsningen kan foretak både komme i gang og forvalte tjenester de har behov for i offentlig eller privat sky med betydelig lavere krav til teknisk spisskompetanse, samtidig som det legges til rette for kontinuerlig optimalisering av kapasitet, tilgjengelighet og ytelse av deres IKT- miljø.

Cloud Direct er leverandør nøytral og gir foretak tilgang til ressurser fra globalt ledende leverandører av storskala sky-tjenester, og kan selv bestemme, eller få rådgivning på, hvilken løsning som er best tilpasset deres individuelle situasjon.

Foretak som benytter Cloud Direct får også tilgang til vårt Cloud Centre of Excellence, som er et av Norges ledende kompetansemiljøer på effektiv bruk av skyteknologi. Cloud Direct benytter "
4/30/2020,313332,PRIVATSYKEHUSET HAUGESUND AS,Optimal restitusjon for idrettsutøvere,977208734,Rogaland,Haugesund,HAUGESUND,JA,NEI,5/8/2020,2020,2022,Helsenæringen,Restitusjon etter treningsøkter er i dag en ressurskrevende aktivitet med sykling eller lett løping hvor utøveren ikke får hvile før etter restitusjon. Vi vil i prosjektet utvikle en ny og unik metode/metodikk og utstyr for vesentlig raskere restitusjon etter trening som også gir utøveren hvile under restitusjon. Metoden gjør at utøveren blir raskere klar og får bedre utbytte av neste treningsøkt. Den nye metodikken er basert på bruk av utsyr som presser på muskler/vev (pulsator) og som gir raskere og mer effektiv restitusjon.
4/30/2020,313333,PRIVATSYKEHUSET HAUGESUND AS,Ny metode for behandling av prostatapasienter,977208734,Rogaland,Haugesund,HAUGESUND,JA,NEI,5/8/2020,2020,2022,Helsenæringen,Prosjektet skal utvikle en ny og unik metode/prosedyre for å kunne behandle pasienter som har forstørret prostata som hadde blitt avvist av anestesilegene fordi de hadde for mange sidesykdommer. Vanlig bedøvelsesprosedyre for de fleste pasientene er spinalbedøvelse eller narkose men for en gruppe pasienter er det det ikke er tilrådelig med slik bedøvelse og disse kan derfor normalt ikke operes. Denne gruppen kan enten være opp i åra og har hjerte-lungesykdom i tillegg eller det kan være andre årsaker til at operasjon frarådes. Denne nye prosessen gjør at en rekke av disse avviste pasientene kan opereres.
4/15/2020,313334,PGS GEOPHYSICAL AS,Seismisk kabel,960563085,Oslo,Oslo,OSLO,NEI,NEI,,2020,2021,Olje og gass,"PGS' proprietary GeoStreamer® technology provides subsurface images of greater clarity, accuracy and reliability. The streamer is towed deep, increasing the low-frequency signal content and its multi-sensor recordings allow the accurate removal of unwanted receiver ghost reflections.

In order to maintain the technology advantage and raise the bar further, a new revision of GeoStreamer is under development, allowing for further advancements related to productivity, data quality and cost efficiency."
4/30/2020,313335,BERGEN HELHETSKLINIKK AS,Ny behandling av fedme,823937652,Vestland,Bergen,BERGEN,NEI,JA,5/8/2020,2020,2022,Helsenæringen,"Vi skal utvikle og dokumentere et nytt behandlingsregime for behandling av overvekt. Behandlingsregimet sammenfatter flere ulike tilnærminger som aldri tidligere har vært dokumentert brukt synergisk i behandling av overvekt og vektkontroll. Behandlingsopplegget vil primært bestå av tre faktorer i synergi. Disse er psykoterapi, diett og colonhydroterapi, der dietten er spesialtilpasset den enkelte pasient ut fra analyse av tarmflora. Disse faktorene er allerede brukt i behandling av denne typen pasienter, men de har aldri vært brukt sammen i et synergistisk opplegg. Det finnes derfor heller ikke noen dokumentasjon over effekt av denne behandlingsrutinen for effekt og varig vektkontroll."
4/30/2020,313336,CONFIRMIT AS,Studio,976886240,Oslo,Oslo,OSLO,JA,NEI,6/4/2020,2020,2022,IKT-næringen,"For R&D handler skattefunnprosjektet Studio om å bygge en felles arkitektur på toppen av ulike funksjonsdomener og teknologivalg. 

For kundene handler prosjektet om å forholde seg til ett system til tross for at det bakenforliggende består av mange ulike systemer.

For Salg og Services handler prosjektet om å levere kundeprosjekter raskere og billigere, og med mindre skreddersøm og fremtidig vedlikehold.

Prosjektet handler også om å kombinere stor fleksibilitet i hva som kan lages på plattformen med spesifikke produkter på toppen av plattformen som gir langt lavere krav til kunnskap og teknologiforståelse for brukere."
4/30/2020,313337,BAKERIET MO I RANA AS,Utvikle råstoff prosess for optimalisert bløt-legging av råvarer,948134926,Nordland,Rana,MO I RANA,NEI,NEI,,2020,2022,ukjent,Prosjektet fremstiller råstoff til råvare.
4/30/2020,313338,BRUNVOLL AS,Brunvoll frekvensomformer drives,995884070,Møre og Romsdal,Molde,MOLDE,JA,NEI,5/18/2020,2020,2023,Maritim,"I dagens maritime marked er det stort fokus på energioptimalisering og elektrifisering. Med dette produktet vil Brunvoll ta frem en ny serie med frekvensomformer-drives for alle våre produkter, som fra starten har stor fokus på minimering av effekttap.
Flere og flere fartøy går over til diesel-elektrisk, hel-elektrisk eller hybrid-fremdrift. Dette produktet muliggjør dette, spesielt for mindre fartøy med krav til kompakte løsninger og løsninger med lav byggehøyde. 
For batteri- og hybridfartøy er det kritisk å minimere effekttap i motor og omformer, noe dette produktet vil bli markedsledende innenfor."
4/30/2020,313339,GLENCORE NIKKELVERK AS,Nye online analysemetoder,911575787,Agder,Kristiansand,KRISTIANSAND S,JA,NEI,5/21/2020,2020,2023,Prosess- og foredlingsindustri,"For dagens prosessindustri er det viktig å kjøre prosessene på en miljøvennlig, ressursbesparende og bærekraftig måte.
Det er derfor enda viktigere å støtte dagens prosesskontroll med målinger som går kontinuerlig og ikke minst måler korrekt. 
Vår målsetning er å finne robuste og representative målemetoder som bidrar til økt prosesskontroll. 
Dermed kan produksjonen kjøres enda mer optimalt med hensyn på sikkerhet, miljø, ressurs- og energiforbruk.
Et av delmålene, korrekt prøvetaking for å få en representativ prøve, er en undervurdert disiplin. Optimal prosesskontroll forutsetter at datagrunnlaget fra prosessprøver gjenspeiler prosessens tilstand. Det handler om representativt utvalg. Gjennom hele prosessen når man tar ut prøver. Fra første prøveuttak ned til mikroskopform. Tar du en bøtte med jord for å analysere denne, trenger ikke det bety at det er representativt for hele jordhaugen. Sånn er det med prøvetaking av materialer også. 
Økt automatisering, som for eksempel kontinuerlig bestemmelse av spor av sølv, vil minimere operatørens daglig kontakt med prosessløsninger og dermed frigjøre tid for å kunne jobbe med andre forbedringsoppgaver. 
Å kunne bruke analysemetoder som klarer å bestemme flere elementer på samme utstyr vil også bidra til mindre ressursbruk. Per idag har Nikkelverk analyser som måler bare et element per oppsatt utstyr. Dette fører til at operatørene må vedlikeholde en større utstyrspark og den totale mengde vedlikehold tar mye tid. Kompakte analysemetoder, som gir svar på flere elementer samtidig, ville gi operatørene mer tid for andre arbeidsoppgaver og kompetanseheving på analyseområdet.
Videre er det essensielt at operatørene har oversiktlige dataverktøy for å kunne kontrollere helsetilstand til de enkle målinger. Derfra kan en tilpasset plan for forebyggende vedlikehold til hver analyse utarbeides. Derfor skal vi utvikle et eget dataprogram med enkel brukergrensesnitt som gjør dette mulig."
4/30/2020,313340,CARGO MAGNET AS,Cargo matching plattform for forbedret kapasitetsutnyttelse i transportbransjen.,822766862,Vestfold og Telemark,Sandefjord,SANDEFJORD,JA,NEI,6/2/2020,2020,2022,Transport og samferdsel,"I det stadig voksende transportmarkedet finnes det en rekke ineffektiviteter og gamle rutiner. Dette resulterer i at kapasitets utnyttelsen av vare-/lastebiler og trailere er bare ca 50%, og ca 30% av kjørte kilometere er med tomme vare-/lastebiler og trailere.  Dette medfører unødvendig CO2e-utslipp, køproblemer og økte kostnader.

Cargo Magnet AS vil introdusere en ny, unik frakt matchingsplattform som automatisk matcher fraktkunders fraktforespørsel med transportørers ledige kapasitet. I tillegg vil den digitalisere hele fraktprosessen. Fra automatisk matching mellom fraktkunder/transportør til digitalisert 'proof of delivery' og betaling. Plattformen vil øke utnyttelsen av kjøretøy og fraktkunder får lavere kostnader."
4/30/2020,313341,ESKELAND ELECTRONICS AS,Generisk høyspenningslaboratorium - forlengelse,994277545,Viken,Nordre Follo,SKI,JA,NEI,6/2/2020,2020,2021,Energi,Prosjektet skal resultere i et generisk høyspenningslaboratorium for kalibrering og verifisering av testutstyr for spenningsprøving og høyspent tilstandskontroll.
4/30/2020,313342,ULEFOS AS,Agile CasT Iron Foundries (ACTIF),981083032,Vestfold og Telemark,Nome,ULEFOSS,JA,NEI,5/29/2020,2020,2021,Prosess- og foredlingsindustri,Prosjektet søker å generere modeller som bistår i beslutninger rundt mengdeforhold og bruk av resirkulert skrapmateriale med utfordringer ifht kjemiske elementer.
4/30/2020,313343,PHOTOCURE ASA,Terapeutisk effekt ved bruk av Hexvix til diagnose av blærekreft. Mulig immunologisk effekt?,967598593,Oslo,Oslo,OSLO,JA,NEI,5/7/2020,2020,2024,Helsenæringen,"Photocure ASA fremstiller produktet Hexvix, som er en oppløsning som instilleres i blæren og benyttes for diagnose av blærekreft. Etter at Hexvix har virket i blæren i en time, undersøkes blæren i blått lys. Eventuelle svulster vil da sees som røde flekker mot en blå bakgrunn. Dette gjør at det er lettere å se svulstene og gjøre en mer komplett kirurgisk behandling enn hvis vanlig hvitt lys benyttes. 

Det har vært kjent i flere år at pasienter som har blitt undersøkt ved hjelp av Hexvix får færre tilbakefall enn pasienter som er undersøkt med hvitt lys. Videre at svulstene utvikler seg langsommere til mer alvorlige stadier hos pasienter som har blitt undersøkt med Hexvix enn hos pasienter som har blitt undersøkt med hvitt lys. Det ser også ut til at etter fjerning av blæren (radikal cystektomi) vil pasienter som tidligere har blitt undersøkt med Hexvix ha en bedre prognose. Blærekreft vil i alvorlige tilfeller kunne spre seg i kroppen, og det at Hexvix pasienter får en bedret prognose selv etter fjerning av blæren, tyder på at effekten av Hexvix ikke bare er begrenset til selve blæren, men også gjennom aktivering av immunsystemet. . 

Vi ønsker å undersøke om Hexvix kan ha en immun-stimulerende virkning, det vil si om Hexvix stimulerer antistoff-dannelse mot svulstene (en slags vaksine-effekt/immunterapi) og at dette er en underliggende mekanisme bak den bedrede prognosen for pasienter som har blitt undersøkt med Hexvix sammenlignet med pasienter som har blitt undersøkt med hvitt lys. En slik ny kunnskap om Hexvix vil kunne åpne opp for nye anvendelsesområder."
4/30/2020,313345,SPAREBANK 1 UTVIKLING DA,Effektiv kodedistribusjon i multi-tenant-miljø,986401598,Oslo,Oslo,OSLO,NEI,JA,6/4/2020,2020,2020,Finans og bank,"Harmonia effektiviserer oppsett og forvaltning av Microsoft sky-tjeneste abonnement for virksomheter med mange selvstendige virksomheter med mange abonnementer, men med samme oppsett og kodebase.

I stedet for å gjøre samme jobben manuelt per virksomhet per sky-abonnement (80 ganger), kan vi utvikle kode én gang, og rulle ut ved hjelp av én knapp i Harmonia. Tidsbesparelsen er enorm, og utnyttelsen skjer direkte via Microsoft sitt Graph API som er veldig mye raskere enn tradisjonelle verktøy."
4/30/2020,313346,SKRETTING AS,Salmon feed development,988044113,Rogaland,Stavanger,STAVANGER,NEI,JA,6/17/2020,2020,2022,Fiskeri og havbruk,"Aquaculture is growing globally, and the aqua feeds needs to be adapted and optimized in order to ensure a sustainable and competative industry. Land based farming comes with several new challenges; a need for extremely high pellet quality, minimum nutrient leaching and faeces quality that allows fast removal from the tanks. The nutrient profile of the feed must be optimized for fish at higher temperatures and faster growth rates. The recirculation facility further challenge the traditional farming methods by keeping the fish longer in fresh and brakkish water, and the nutritional requirements for these conditions need to be established to ensure robost fish and low mortality.
The main goal of this project will be to ensure that Skretting has highly competitive future feeds for salmon. The research will allow improvement of feeds for freshwater and saltwater recirculation facilities, transfer feeds for support in challenging life phases and to ensure robust smolt and efficient grower diets for fast growth in sea. Within all feed concepts we will focus on developing sustainable feeds."
4/30/2020,313347,MARITECH SYSTEMS AS,Utvikling av neste generasjon TMS,997929217,Møre og Romsdal,Averøy,AVERØY,NEI,JA,6/2/2020,2020,2021,Transport og samferdsel,"Prosjektet vil sørge for at våre samarbeidspartnere i transportbransjen får en hverdag som blir mer effektiv og bærekraftig. Man får jobbe med ny og moderne teknologi som snakker sømløst med sjåførapper, og man sparer tid og ressurser. Spesielt den nye kartfunksjonen og lasteplanlegging i kart vil skape stor verdi for alle parter, både når det kommer til tidsbruk, informasjon og økonomi for de involverte."
4/30/2020,313348,MYOBIOTEC AS,CV for fiskevelferd og slaktekvalitet for sløyd laks og filet,974214458,Vestland,Bømlo,BREMNES,NEI,JA,6/5/2020,2020,2022,Marin/sjømat,"FoU-prosjektet skal bidra til å utvikle ein unik CV som inneheld parameter for fiskevelferd og kvalitet for kvart slakteparti.
Me ynskjer å setje fokus på fiskevelferd og kvalitet for laks, og vil utvikle ein CV som vil føre til at kunde og forbruker kan gjera beviste val. Ein av utfordringane i FoU-prosjektet er å utvikle data ""verktøy"" som visualiserer og dokumenterer fiskevelferd ved handtering av laksen fram til bedøving og avliving i forbindelse med slakting.

God fiskevelferd ved slaktehandtering er ein forutsetning for å bevare kvalitetspotensialet i laksekjøtet. God fiskevelferd vil og føre til høgare ferskhet i laksen. Fou-prosjektet vil auka bevisstgjering og synleggjere forhaldet mellom god fiskevelferd og god kvalitet. God fiskevelferd kan mogleg og forlenge haldbarheit på produkt. Auka fokus på fiskevelferd kan dermed gje mogleg potensial for redusert matsvinn og for transportmetodar som er meir miljøvenlege."
4/30/2020,313349,WILLOW LABS AS,Avansert AI drevet kredittrisikomodeller med inn-modellerte nettverks effekter,824989362,Oslo,Oslo,OSLO,NEI,NEI,,2020,2022,ukjent,"Tradisjonelle kredittrisikomodeller har ofte mange svakheter i måling av risiko og fokuserer i stor grad på idiosynkratisk risiko uten å ta hensyn til nettverkseffekter. Prosjektet har som mål å utvikle en nettverksmodell basert på maskinlæring algoritmer som måler kredittrisiko i nettverket hensyntatt både idiosynkratisk og systematisk risiko, men også avhengigheter mellom motparter. Primært er målet kvantifisering av misligholdssmitte fra en motpart til en annen som følge av forskjellige hendelser, dvs mislighold grunnet bedriftspesifikke hendelser, mislighold som følge av makrohendelser. Videre ønsker vi i tillegg å bruke alternative datafor å finne sammenhenger i kredittrisiko i nettverket (f.eks transport data knyttet til handelsbedrifter som igjen er knyttet til utleieeiendom). 
 
Vi ønsker også å modellere relasjoner til noder som råvarer, BNP, aksjeindekser, industri tall, vær osv. Dette gir en mulighet til å bryte ned risikoen til bedriften i komponenter. Ved å se på alternativ data som noder i et nettverk kan man enklere utbytte tilgjengelig data samt lettere bruke oppdatert informasjon."
4/30/2020,313352,MOWI FEED AS,Antioxidant role of dietary vitamins within Atlantic salmon during grown-out phase,911610744,Vestland,Bergen,BERGEN,NEI,JA,6/5/2020,2020,2020,Fiskeri og havbruk,"In this project we will examined how the dietary vitamins improves the oxidative status of the fish. By doing this we can improve and balance our grower feed and improve the fish quality of our Mowi salmon. We will measure the vitamin storage and follow up main response parameters as feed intake, growth and feed conversion ratio, simple flesh quality (fat and colour), and general fish health including gut health assessments. If we can improve the antioxidant status of the fish this may improves the retention of pigment in the fish and the visual color of the salmon in addition. Better balanced nutritional diets which improves the oxidative status of the fish may make the fish more robust in many welfare farming situations in addition to contribute to better economy. Filet color are one of the main quality criteria for the salmon marked. If we can obtain more efficient pigmentation of the fish by balancing the vitamins in the feed we can save resources in addition to adding more value to the fish."
4/30/2020,313353,BIOMAR A.S.,Sugarboost,937843860,Nordland,Øksnes,MYRE,JA,NEI,6/2/2020,2020,2020,Marin/sjømat,Rødmunnsyke forårsaket av bakterien Yersinia ruckeri er et stort problem for laksefisk. Tidligere har vi sett lovende effekter av flere typer komponenter i helsefôr. I dette prosjektet ønsker vi å å fokusere nærmere på en spesiell type immunostimulerende stoffer for å øke overlevelsen ved rødmunnsyke og gi en generelt mer robust fisk.
4/30/2020,313354,NEKTON SETTEFISK AS,Velferd ved Intensiv Smolt Produksjon,935701643,Møre og Romsdal,Smøla,SMØLA,JA,NEI,5/27/2020,2020,2022,Fiskeri og havbruk,"Foretaket  driver produksjon og salg av yngel og settefisk av laks. Anlegget i Sagvågen i Aure kommune på Nord-Møre består av en resirkulerings del (RAS) og en gjennomstrømmingsdel. Anlegget var tidligere et problemanlegg som ble solgt til oss i 2011. I tidligere SkatteFUNN-prosjekter har vi utviklet, justert og tatt i bruk gode løsninger for mange av utfordringene. Løsningene har også blitt kopiert av andre anlegg. Det gjenstår noen sentrale utfordringer før anlegget fungerer optimalt. Dette gjelder fiskevelferd ved intensiv drift og kan kort oppsummeres som; kontroll med CO2 nivåene i RAS delen og sammenheng med sykdomstilstanden nefrokalisnose (nyreforkalking), styring av pH på vannet i gjennomstrømmingsdelen samt renhold av kar, rør og biofilter. Gjennom det omsøkte prosjektet skal bedriften utvikle løsninger som skal gi smolt av etterspurt høy kvalitet.
Det vil si god tilvekst, høy overlevelse, lite lakselus og lite sykdom."
4/30/2020,313355,BRUNVOLL VOLDA AS,Contra Rotating Propeller for main propulsion,917225702,Møre og Romsdal,Volda,VOLDA,JA,NEI,5/18/2020,2020,2023,Maritim,"Brunvoll har utviklet og levert en prototyp av fremdriftslinje med kontraroterende propeller, CRP, drevet av permanent magnetiske (PM) motorer for plattformforsyningsskipet (PSV) Juanita. Denne installasjonen har fungert bra i 5 år. 

CRP er mest kjent fra azimuth thruster-enheter. Når det gjelder fremdriftsaksellinjer, eksisterer en japansk
leverandør av CRP-propeller, dog bare sammen med en avansert og kostbar girkasse. Brunvoll er
eneste leverandør som har kombinasjonen CRP og PM-motor, en løsning utviklet sammen med SALT Ship Design
og Inpower.

En av hovedårsakene til at ingen flere har CRP for hovedpropulsjon på en aksellinje antas å være knyttet til høy kompleksitet ved utforming av aksel-i-aksel kontra-roterende lagre og tetninger for fremdrift på aksellinjen.

Framdriftsystem med en enkelt propell er ikke en redundant propulsjonsløsning, men for skip med en enkelt fremdriftsaksel er CRP godkjent fra DNV GL som et redundant fremdriftssystem.

Når det gjelder effektivitet, gir CRP betydelig bedre effektivitet enn tradisjonelle propeller, typisk 5-10%
bedre avhengig av skipsdesign og driftsmodi. Ytterligere analyse er nødvendig for å gi spesifikke tall for effektivitetsgevinsten.

Brunvoll CRP har følgende fordeler
- Robust og plassbesparene
- Fastpropell gir få bevegelige deler
- Ingen reduksjonsgir gir reduserte mekaniske tap
- Redundant løsning med to uavhengige propeller
- Forbedret effektivitet sammenlignet med konvensjonelle propeller

Bruken av PM-maskiner gir forbedret effektivitet sammenlignet med tradisjonelle kobberviklede el motorer. I tillegg elimineres mekaniske tap på grunn av gir."
4/30/2020,313356,POLARMAT AS,Utvikling av nytt produkt og produksjonsmetode,919291281,Nordland,Lurøy,TONNES,JA,NEI,5/28/2020,2020,2021,Fiskeri og havbruk,"Vi skal utvikle en ny produksjonmetode for å skape et nytt produkt. Dette produktet vil inngå i ""tørrfiskfamilien"" og være nyskapende i sin form og tilgjengelighet for forbrukerne.
Produktet vil være delikat presentert og ha mange ulike anvendelsesområder. Produktet tenkes å lanseres i Norge, men etterhvert også til utlandet der markedet er veldig stort."
4/30/2020,313357,BIOMAR A.S.,Braveheart,937843860,Nordland,Øksnes,MYRE,JA,NEI,5/28/2020,2020,2021,Marin/sjømat,"Viral diseases cause large production losses in aquaculture. Functional diets can help the fish cope better with the infection by reducing tissue damage or influencing the replication of the virus by stimulating different aspects of the immune system.
In this project we will develop a feed to promote robustness towards a commercially relevant viral disease in farmed salmonids."
4/30/2020,313358,LILLEBAKK AS,Fra lys ide til kommersiell kvalitetsmåling i laksenæringen,912172376,Møre og Romsdal,Molde,MOLDE,NEI,JA,6/3/2020,2020,2021,Næringsmiddelindustri,"Lakseindustrien har et kvalitetsproblem med blodflekker i røkelaks som
gir en negativ visuell opplevelse hos forbrukerne. Store matvarekjeder
legger press på produsentene for å løse dette. Problemet gir seg utslag
i kundereklamasjoner, dårlig produktutbytte (matsvinn) som følge av at
flekker i røkelaksen må skjæres bort før pakking, samt økte lønnskostnader
som følge av manuell fjerning av blodflekker i råvarer før røking og i røkt
ferdigprodukt. Ved å detektere blodflekkene kan ferske laksefileter med
blodflekker sorteres ut til ferskproduksjon og man kan da sikre kvalitet
på råvarene som går til røyking. Ved hjelp av spektroskopi skal det
detektere angitte kvalitetsparameter på laks i sanntid. En gjennomlysing
av filet vil kunne detektere og lokalisere blodflekker som ikke er synlig i
overflaten.Den spektroskopiske målingen vil bli gjennomført med et såkalt
multi-/hyperspektralt kamera. Slike kamera danner bilder der hvert enkelt
piksel inneholder en spektral måling. Dette gir informasjon om både form
og spektrale egenskaper ved et objekt i en og samme måling, og gir for
eksempel mulighet til å automatisk hente ut spektrale målinger fra visse
deler av fileten. Spektroskopiske målinger utføres ved at man sender
elektromagnetisk stråling inn i et objekt og måler hvor mye av strålingen
som kommer ut igjen. For laksenæringen vil en slik kvalitetsmåling bety
bedre utnyttelse av råstoff av ulik kvalitet samt et bedre grunnlag for
prisfastsettelse. Man vil også oppnå bedre oversikt over kvaliteten i en gitt
leveranse av fisk til foredling. Det åpner opp nye muligheter for næringa og
kan få stor betydning for videreforedling av laks. Måling av kvalitet for hver
individuelle filet gir også mulighet for utvidet bruk av statistiske metoder.
Dette vil gi økt forståelse av hvordan kvaliteten varierer ut fra årstider,
oppdrettslokasjon, medisinske behandlinger, fraktmetoder, håndtering, osv."
4/30/2020,313359,MARITECH SYSTEMS AS,Sporing av fisk gjennom verdikjeden,997929217,Møre og Romsdal,Averøy,AVERØY,JA,NEI,6/15/2020,2020,2021,Fiskeri og havbruk,"Maritech har sammen med sine kunder bidratt til å levere gode forretnings-løsninger for sjømatnæringen de siste 40 årene. De siste årene har det blitt ett stadig større fokus på sporbarhet og opprinnelse av av varene som blir solgt. I tillegg er juks og svart omsetning blitt ett økende problem i bransjen. En avansert sporingsløsning vil gjøre det lettere å levere opprinnelse og dokumentere denne for de aktørene som ønsker å være transparente og gode. Vi vil gjennom dette prosjektet lage en løsning som sørger for at sporingen gjennom en komplisert forandring blir ivaretatt og levert til neste aktør. I dag finnes det ikke noen god løsning på overlevering av full internsporing fra en aktør til en annen, så dersom en skal gjøre en revisjon må en innom flere selskap. Maritech vil gjennom denne løsningen sørge for at hver enkelt aktør kan dokumentere at sporingen er korrekt."
